Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 15:00:00-05:00,0.77,,
2025-10-30 17:00:00-04:00,0.53,0.63,18.68
2025-07-31 18:00:00-04:00,0.33,0.5,50.7
2025-04-24 19:00:00-04:00,0.43,0.33,-22.69
2025-02-18 19:00:00-05:00,0.39,-0.16,-141.33
2024-10-23 20:00:00-04:00,0.44,0.56,26.75
2024-07-25 08:00:00-04:00,0.28,0.65,135.73
2024-04-23 20:00:00-04:00,0.33,0.39,18.74
2024-02-22 18:00:00-05:00,1.08,0.56,-47.91
2023-10-26 18:00:00-04:00,0.73,0.67,-8.5
2023-07-27 20:00:00-04:00,0.64,0.23,-64.09
2023-04-26 16:00:00-04:00,0.45,0.38,-14.98
2023-02-16 17:00:00-05:00,0.64,0.71,11.25
2022-10-27 17:00:00-04:00,0.57,0.98,73.0
2022-07-28 17:00:00-04:00,0.68,1.32,94.12
2022-04-27 18:00:00-04:00,0.84,0.93,10.86
2022-02-23 19:00:00-05:00,0.95,1.13,18.66
2021-10-28 22:00:00-04:00,1.21,0.76,-37.17
2021-07-28 20:00:00-04:00,1.61,1.49,-7.31
2021-04-26 22:00:00-04:00,1.14,1.13,-0.81
2021-02-25 20:00:00-05:00,1.28,1.27,-0.91
2020-10-28 19:00:00-04:00,0.72,0.64,-11.78
2020-07-29 22:00:00-04:00,0.26,0.29,12.27
2020-04-28 21:00:00-04:00,0.11,0.09,-18.79
2020-02-20 18:00:00-05:00,0.53,0.36,-32.08
