,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-152320000.0,113900000.0,1583455.702398,-106054384.017758,86618261.826183,
Tax Rate For Calcs,0.34,0.34,0.316691,0.032186,0.123212,
Normalized EBITDA,4124000000.0,2895000000.0,3027000000.0,3704000000.0,2310000000.0,
Total Unusual Items,-448000000.0,335000000.0,5000000.0,-3295000000.0,703000000.0,
Total Unusual Items Excluding Goodwill,-448000000.0,335000000.0,5000000.0,-3295000000.0,703000000.0,
Net Income From Continuing Operation Net Minority Interest,2685000000.0,2117000000.0,1394000000.0,-694000000.0,2412000000.0,
Reconciled Depreciation,761000000.0,780000000.0,704000000.0,802000000.0,748000000.0,
Reconciled Cost Of Revenue,5887000000.0,5312000000.0,4771000000.0,5489000000.0,5547000000.0,
EBITDA,3676000000.0,3230000000.0,3032000000.0,409000000.0,3013000000.0,
EBIT,2915000000.0,2450000000.0,2328000000.0,-393000000.0,2999000000.0,
Net Interest Income,-517000000.0,-409000000.0,-326000000.0,-616000000.0,-188000000.0,
Interest Expense,303000000.0,347000000.0,285000000.0,508000000.0,272000000.0,
Interest Income,28000000.0,112000000.0,56000000.0,20000000.0,43000000.0,
Normalized Income,2980680000.0,1895900000.0,1390583455.702398,2494945615.982242,1795618261.826183,
Net Income From Continuing And Discontinued Operation,2685000000.0,2117000000.0,1394000000.0,-694000000.0,2412000000.0,
Total Expenses,7003000000.0,6559000000.0,5814000000.0,7183000000.0,6767000000.0,
Total Operating Income As Reported,2791000000.0,2004000000.0,1799000000.0,790000000.0,3675000000.0,
Diluted Average Shares,,4234000000.0,4273772000.0,,4274508000.0,4260000000.0
Basic Average Shares,,4234000000.0,4268759000.0,,4269495000.0,4260000000.0
Diluted EPS,,0.5,0.33,,0.56,0.65
Basic EPS,,0.5,0.33,,0.56,0.65
Diluted NI Availto Com Stockholders,2685000000.0,2117000000.0,1394000000.0,-694000000.0,2412000000.0,
Net Income Common Stockholders,2685000000.0,2117000000.0,1394000000.0,-694000000.0,2412000000.0,
Net Income,2685000000.0,2117000000.0,1394000000.0,-694000000.0,2412000000.0,
Minority Interests,-10000000.0,-18000000.0,-2000000.0,178000000.0,21000000.0,
Net Income Including Noncontrolling Interests,2695000000.0,2135000000.0,1396000000.0,-872000000.0,2391000000.0,
Net Income Continuous Operations,2695000000.0,2135000000.0,1396000000.0,-872000000.0,2391000000.0,
Tax Provision,-83000000.0,-32000000.0,647000000.0,-29000000.0,336000000.0,
Pretax Income,2612000000.0,2103000000.0,2043000000.0,-901000000.0,2727000000.0,
Other Income Expense,-288000000.0,267000000.0,64000000.0,-3226000000.0,129000000.0,
Special Income Charges,-626000000.0,-241000000.0,-506000000.0,-2101000000.0,839000000.0,
Gain On Sale Of Business,,,,,,1059000000.0
Other Special Charges,256000000.0,109000000.0,253000000.0,254000000.0,305000000.0,
Write Off,,132000000.0,253000000.0,,,-1010000000.0
Impairment Of Capital Assets,370000000.0,132000000.0,,1847000000.0,-1144000000.0,-1010000000.0
Earnings From Equity Interest,160000000.0,-68000000.0,59000000.0,69000000.0,-574000000.0,
Gain On Sale Of Security,178000000.0,576000000.0,511000000.0,-1194000000.0,-136000000.0,
Net Non Operating Interest Income Expense,-517000000.0,-409000000.0,-326000000.0,-616000000.0,-188000000.0,
Total Other Finance Cost,242000000.0,174000000.0,97000000.0,128000000.0,-41000000.0,
Interest Expense Non Operating,303000000.0,347000000.0,285000000.0,508000000.0,272000000.0,
Interest Income Non Operating,28000000.0,112000000.0,56000000.0,20000000.0,43000000.0,
Operating Income,3417000000.0,2245000000.0,2305000000.0,2941000000.0,2786000000.0,
Operating Expense,371000000.0,474000000.0,363000000.0,915000000.0,486000000.0,
Other Operating Expenses,62000000.0,184000000.0,95000000.0,456000000.0,155000000.0,
Depreciation Amortization Depletion Income Statement,16000000.0,7000000.0,24000000.0,23000000.0,14000000.0,
Depreciation And Amortization In Income Statement,16000000.0,7000000.0,24000000.0,23000000.0,14000000.0,
Depreciation Income Statement,,7000000.0,,,,9000000.0
Research And Development,151000000.0,159000000.0,123000000.0,253000000.0,192000000.0,
Selling General And Administration,142000000.0,124000000.0,121000000.0,183000000.0,125000000.0,
Selling And Marketing Expense,,18000000.0,,,,21000000.0
General And Administrative Expense,142000000.0,106000000.0,121000000.0,162000000.0,125000000.0,
Other Gand A,77000000.0,57000000.0,59000000.0,66000000.0,74000000.0,
Salaries And Wages,65000000.0,49000000.0,62000000.0,96000000.0,51000000.0,
Gross Profit,3788000000.0,2719000000.0,2668000000.0,3856000000.0,3272000000.0,
Cost Of Revenue,6632000000.0,6085000000.0,5451000000.0,6268000000.0,6281000000.0,
Total Revenue,10420000000.0,8804000000.0,8119000000.0,10124000000.0,9553000000.0,
Operating Revenue,10363000000.0,8804000000.0,8119000000.0,10209000000.0,9542000000.0,
