,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,1780620.0,2083696.0,1302592.0,1306348.0
Ordinary Shares Number,4195537378.0,4195234302.0,4196015406.0,4196011650.0
Share Issued,4197317998.0,4197317998.0,4197317998.0,4197317998.0
Total Debt,4418355000.0,3391960000.0,4009322000.0,2111628000.0
Tangible Book Value,19383566000.0,15870840000.0,13310780000.0,12054583000.0
Invested Capital,25799458000.0,20177146000.0,18294487000.0,15394086000.0
Working Capital,11767094000.0,10342622000.0,9390333000.0,8018062000.0
Net Tangible Assets,19383566000.0,15870840000.0,13310780000.0,12054583000.0
Capital Lease Obligations,823118000.0,556899000.0,549630000.0,322513000.0
Common Stock Equity,22204221000.0,17342085000.0,14834795000.0,13604971000.0
Total Capitalization,22948502000.0,18006822000.0,15986670000.0,14342042000.0
Total Equity Gross Minority Interest,23125217000.0,17854776000.0,15248355000.0,14010672000.0
Minority Interest,920996000.0,512691000.0,413560000.0,405701000.0
Stockholders Equity,22204221000.0,17342085000.0,14834795000.0,13604971000.0
Other Equity Interest,294956000.0,307272000.0,319341000.0,336460000.0
Treasury Stock,47840000.0,55983000.0,18736000.0,11216000.0
Capital Stock,7504517000.0,6504517000.0,6504517000.0,5504517000.0
Common Stock,7504517000.0,6504517000.0,6504517000.0,5504517000.0
Total Liabilities Net Minority Interest,18364484000.0,13641494000.0,12886305000.0,9922115000.0
Total Non Current Liabilities Net Minority Interest,2910219000.0,2421805000.0,2623428000.0,1994231000.0
Other Non Current Liabilities,473287000.0,205838000.0,171529000.0,162229000.0
Derivative Product Liabilities,0.0,91863000.0,47413000.0,0.0
Tradeand Other Payables Non Current,23647000.0,13650000.0,9393000.0,130623000.0
Non Current Deferred Taxes Liabilities,170520000.0,87056000.0,77136000.0,71892000.0
Long Term Debt And Capital Lease Obligation,1459731000.0,1148764000.0,1598469000.0,986316000.0
Long Term Capital Lease Obligation,715450000.0,484027000.0,446594000.0,249245000.0
Long Term Debt,744281000.0,664737000.0,1151875000.0,737071000.0
Long Term Provisions,783034000.0,874634000.0,719488000.0,643171000.0
Current Liabilities,15454265000.0,11219689000.0,10262877000.0,7927884000.0
Other Current Liabilities,1982275000.0,1565703000.0,1231901000.0,911898000.0
Current Debt And Capital Lease Obligation,2958624000.0,2243196000.0,2410853000.0,1125312000.0
Current Capital Lease Obligation,107668000.0,72872000.0,103036000.0,73268000.0
Current Debt,2850956000.0,2170324000.0,2307817000.0,1052044000.0
Pensionand Other Post Retirement Benefit Plans Current,,,609342000.0,
Current Provisions,579009000.0,427072000.0,353203000.0,259409000.0
Payables,5867828000.0,3671802000.0,3324544000.0,3346457000.0
Other Payable,,,412758000.0,363386000.0
Dividends Payable,561679000.0,482903000.0,361838000.0,195272000.0
Total Tax Payable,1528033000.0,998811000.0,926490000.0,667461000.0
Accounts Payable,3778116000.0,2190088000.0,2036216000.0,2120338000.0
Total Assets,41489701000.0,31496270000.0,28134660000.0,23932787000.0
Total Non Current Assets,14268342000.0,9933959000.0,8481450000.0,7986841000.0
Other Non Current Assets,95233000.0,53332000.0,72534000.0,103350000.0
Non Current Deferred Taxes Assets,1141821000.0,864394000.0,443133000.0,421900000.0
Financial Assets,6166000.0,605000.0,0.0,0.0
Investmentin Financial Assets,17134000.0,10703000.0,12287000.0,0.0
Trading Securities,,,10968000.0,
Long Term Equity Investment,71808000.0,77481000.0,1056000.0,1265000.0
Investmentsin Associatesat Cost,,,,1265000.0
Investmentsin Subsidiariesat Cost,,,1107000.0,
Goodwill And Other Intangible Assets,2820655000.0,1471245000.0,1524015000.0,1550388000.0
Other Intangible Assets,755630000.0,248559000.0,238820000.0,188080000.0
Goodwill,2065025000.0,1222686000.0,1285195000.0,1362308000.0
Net PPE,9933659000.0,7294836000.0,6282653000.0,5504772000.0
Accumulated Depreciation,-7563769000.0,-5337782000.0,-5197470000.0,-4785347000.0
Gross PPE,17497428000.0,12632618000.0,11480123000.0,10290119000.0
Construction In Progress,1239771000.0,797172000.0,590565000.0,298537000.0
