,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5401947000.0,5363198000.0,1762521000.0,208714000.0
Repurchase Of Capital Stock,0.0,-40396000.0,-10333000.0,
Repayment Of Debt,-4168962000.0,-3534389000.0,-2110718000.0,-241149000.0
Issuance Of Debt,4331232000.0,2916805000.0,4253529000.0,386533000.0
Issuance Of Capital Stock,8143000.0,3149000.0,2813000.0,4563000.0
Capital Expenditure,-1850322000.0,-1658625000.0,-1174410000.0,-847344000.0
End Cash Position,7347599000.0,6488454000.0,4451002000.0,2714427000.0
Beginning Cash Position,6488454000.0,4451002000.0,2714427000.0,3892140000.0
Effect Of Exchange Rate Changes,465703000.0,-306714000.0,-91873000.0,10177000.0
Changes In Cash,393442000.0,2344166000.0,1828448000.0,-1187890000.0
Financing Cash Flow,-2764198000.0,-2963451000.0,247779000.0,-1560078000.0
Interest Paid Cff,,,-55867000.0,-52680000.0
Cash Dividends Paid,-2934611000.0,-2308620000.0,-1887512000.0,-1657345000.0
Common Stock Dividend Paid,-2934611000.0,-2308620000.0,-1887512000.0,-1657345000.0
Net Common Stock Issuance,8143000.0,-37247000.0,-7520000.0,4563000.0
Common Stock Payments,0.0,-40396000.0,-10333000.0,
Common Stock Issuance,8143000.0,3149000.0,2813000.0,4563000.0
Net Issuance Payments Of Debt,162270000.0,-617584000.0,2142811000.0,145384000.0
Net Long Term Debt Issuance,162270000.0,-617584000.0,2142811000.0,145384000.0
Long Term Debt Payments,-4168962000.0,-3534389000.0,-2110718000.0,-241149000.0
Long Term Debt Issuance,4331232000.0,2916805000.0,4253529000.0,386533000.0
Investing Cash Flow,-4094629000.0,-1714206000.0,-1356262000.0,-683870000.0
Dividends Received Cfi,,,0.0,0.0
Net Investment Purchase And Sale,1443000.0,5590000.0,2542000.0,113115000.0
Sale Of Investment,3264000.0,5590000.0,14829000.0,170979000.0
Purchase Of Investment,-1821000.0,0.0,-12287000.0,-57864000.0
Net Business Purchase And Sale,-2263748000.0,-78998000.0,-195052000.0,0.0
Purchase Of Business,-2263748000.0,-78998000.0,-195052000.0,0.0
Net Intangibles Purchase And Sale,-69659000.0,-72624000.0,-62979000.0,-66495000.0
Purchase Of Intangibles,-69659000.0,-72624000.0,-62979000.0,-66495000.0
Net PPE Purchase And Sale,-1762665000.0,-1568174000.0,-1100773000.0,-730490000.0
Sale Of PPE,17998000.0,17827000.0,10658000.0,50359000.0
Purchase Of PPE,-1780663000.0,-1586001000.0,-1111431000.0,-780849000.0
Operating Cash Flow,7252269000.0,7021823000.0,2936931000.0,1056058000.0
Taxes Refund Paid,-1375362000.0,-1188658000.0,-814414000.0,-1182259000.0
Interest Paid Cfo,-160301000.0,-127655000.0,-55867000.0,
Change In Working Capital,-148613000.0,513942000.0,-2697399000.0,-2849464000.0
Change In Other Current Assets,292924000.0,782142000.0,-225351000.0,
Change In Payable,717571000.0,32376000.0,-267095000.0,1170236000.0
Change In Inventory,-997309000.0,142764000.0,-1424939000.0,-2670807000.0
Change In Receivables,-161799000.0,-443340000.0,-780014000.0,-1348893000.0
Other Non Cash Items,107756000.0,85112000.0,34419000.0,28940000.0
Stock Based Compensation,25618000.0,10908000.0,12035000.0,10712000.0
Provisionand Write Offof Assets,168117000.0,147028000.0,131995000.0,-26949000.0
Deferred Tax,-101022000.0,154489000.0,72362000.0,30466000.0
Depreciation And Amortization,812485000.0,628042000.0,565557000.0,520178000.0
Depreciation,812485000.0,628042000.0,565557000.0,520178000.0
Pension And Employee Benefit Expense,712757000.0,737547000.0,569352000.0,538705000.0
Gain Loss On Investment Securities,-128709000.0,17889000.0,454636000.0,116673000.0
Gain Loss On Sale Of PPE,,,,10593000.0
Net Income From Continuing Operations,7908508000.0,6590797000.0,5115642000.0,4330036000.0
