Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-25 15:00:00-05:00,0.38,,
2025-10-22 07:00:00-04:00,0.39,0.39,1.74
2025-07-23 07:00:00-04:00,0.41,0.38,-8.33
2025-04-30 03:00:00-04:00,0.39,0.37,-5.35
2025-02-26 03:00:00-05:00,0.39,0.4,3.44
2024-10-30 03:00:00-04:00,0.38,0.38,-2.24
2024-07-31 03:00:00-04:00,0.32,0.34,5.77
2024-05-02 08:00:00-04:00,0.31,0.32,2.01
2024-02-21 06:00:00-05:00,0.32,0.42,30.62
2023-10-25 06:00:00-04:00,0.32,0.31,-1.79
2023-07-19 06:00:00-04:00,0.32,0.33,1.91
2023-04-26 07:00:00-04:00,0.29,0.31,7.38
2023-02-15 05:00:00-05:00,0.29,0.28,-0.65
2022-10-26 06:00:00-04:00,0.24,0.28,17.44
2022-07-20 06:00:00-04:00,0.21,0.22,5.94
2022-04-27 06:00:00-04:00,0.2,0.22,11.9
2022-02-16 05:00:00-05:00,0.2,0.21,5.09
2021-10-27 13:00:00-04:00,0.18,0.19,7.94
2021-07-28 08:00:00-04:00,0.2,0.2,2.18
2021-04-28 08:00:00-04:00,0.17,0.18,7.15
2021-02-24 06:00:00-05:00,0.17,0.18,4.07
2020-10-21 06:00:00-04:00,0.11,0.15,46.25
2020-07-22 07:00:00-04:00,0.1,0.12,23.85
2020-04-29 07:00:00-04:00,0.1,0.1,10.41
2020-02-19 06:00:00-05:00,0.1,0.12,21.76
