,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,48426327.0,72283524.0,40135578.3,8535132.7
Tax Rate For Calcs,0.201,0.1097,0.1647,0.1553
Normalized EBITDA,8646793000.0,6709981000.0,5515876000.0,4847224000.0
Total Unusual Items,240927000.0,658920000.0,243689000.0,54959000.0
Total Unusual Items Excluding Goodwill,240927000.0,658920000.0,243689000.0,54959000.0
Net Income From Continuing Operation Net Minority Interest,6042593000.0,5731670000.0,4208084000.0,3585947000.0
Reconciled Depreciation,812485000.0,628042000.0,565557000.0,520178000.0
Reconciled Cost Of Revenue,25173096000.0,21702737000.0,21209235000.0,16602381000.0
EBITDA,8887720000.0,7368901000.0,5759565000.0,4902183000.0
EBIT,8075235000.0,6740859000.0,5194008000.0,4382005000.0
Net Interest Income,-79813000.0,-195125000.0,-65586000.0,62271000.0
Interest Expense,166727000.0,150062000.0,78366000.0,51969000.0
Interest Income,0.0,5068000.0,25444000.0,60160000.0
Normalized Income,5850092327.0,5145033524.0,4004530578.3,3539523132.7
Net Income From Continuing And Discontinued Operation,6042593000.0,5731670000.0,4208084000.0,3585947000.0
Total Expenses,30438168000.0,26109579000.0,24926714000.0,19334943000.0
Diluted Average Shares,4196422000.0,4195705962.0,4196987000.0,4196700000.0
Basic Average Shares,4195474000.0,4195705962.0,4196013000.0,4196116000.0
Diluted EPS,1.43994,1.36608,1.00264,0.85447
Basic EPS,1.44026,1.36608,1.00288,0.85459
Diluted NI Availto Com Stockholders,6042593000.0,5731670000.0,4208084000.0,3585947000.0
Net Income Common Stockholders,6042593000.0,5731670000.0,4208084000.0,3585947000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6042593000.0,5731670000.0,4208084000.0,3585947000.0
Minority Interests,-276170000.0,-135945000.0,-64788000.0,-71533000.0
Net Income Including Noncontrolling Interests,6318763000.0,5867615000.0,4272872000.0,3657480000.0
Net Income Continuous Operations,6318763000.0,5867615000.0,4272872000.0,3657480000.0
Tax Provision,1589745000.0,723182000.0,842770000.0,672556000.0
Pretax Income,7908508000.0,6590797000.0,5115642000.0,4330036000.0
Special Income Charges,20280000.0,13917000.0,20528000.0,0.0
Restructuring And Mergern Acquisition,-20280000.0,-13917000.0,-20528000.0,0.0
Net Non Operating Interest Income Expense,-79813000.0,-195125000.0,-65586000.0,62271000.0
Total Other Finance Cost,-86914000.0,118729000.0,12664000.0,-54080000.0
Interest Expense Non Operating,166727000.0,150062000.0,78366000.0,51969000.0
Interest Income Non Operating,0.0,5068000.0,25444000.0,60160000.0
Operating Income,7548773000.0,6394022000.0,4978008000.0,4228395000.0
Operating Expense,5265072000.0,4406842000.0,3717479000.0,2732562000.0
Other Operating Expenses,406377000.0,322663000.0,198729000.0,-269001000.0
Selling General And Administration,4263832000.0,3453408000.0,3046209000.0,2609211000.0
Selling And Marketing Expense,2964411000.0,2408520000.0,2173274000.0,1833204000.0
General And Administrative Expense,1299421000.0,1044888000.0,872935000.0,776007000.0
Gross Profit,12813845000.0,10800864000.0,8695487000.0,6960957000.0
Cost Of Revenue,25173096000.0,21702737000.0,21209235000.0,16602381000.0
Total Revenue,37986941000.0,32503601000.0,29904722000.0,23563338000.0
Operating Revenue,37986941000.0,32503601000.0,29904722000.0,23563338000.0
