,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,29466369.0,10737227.356676,0.0,0.0
Tax Rate For Calcs,0.165944,0.1746,0.195521,0.200632,0.227187
Normalized EBITDA,2835643000.0,2083045000.0,2427541000.0,2762843000.0,2645750000.0
Total Unusual Items,,168765000.0,54916000.0,,
Total Unusual Items Excluding Goodwill,,168765000.0,54916000.0,,
Net Income From Continuing Operation Net Minority Interest,1591952000.0,1546036000.0,1694296000.0,1578678000.0,1441655000.0
Reconciled Depreciation,237597000.0,229607000.0,244670000.0,211758000.0,189524000.0
Reconciled Cost Of Revenue,6771646000.0,6762551000.0,7204049000.0,6458216000.0,6148231000.0
EBITDA,2835643000.0,2251810000.0,2482457000.0,2762843000.0,2645750000.0
EBIT,2598046000.0,2022203000.0,2237787000.0,2551085000.0,2456226000.0
Net Interest Income,7492000.0,-14236000.0,7641000.0,64448000.0,25281000.0
Interest Expense,568612000.0,38713000.0,38938000.0,473796000.0,499655000.0
Interest Income,576104000.0,21415000.0,0.0,538244000.0,524936000.0
Normalized Income,1591952000.0,1406737369.0,1650117227.356676,1578678000.0,1441655000.0
Net Income From Continuing And Discontinued Operation,1591952000.0,1546036000.0,1694296000.0,1578678000.0,1441655000.0
Total Expenses,8182279000.0,8171607000.0,8738464000.0,7844260000.0,7341863000.0
Diluted Average Shares,4196525636.0,4196549000.0,,4195487403.0,4196346966.0
Basic Average Shares,4195640830.0,4195673000.0,,4195487403.0,4195614214.0
Diluted EPS,0.37935,0.36841,,0.37628,0.34355
Basic EPS,0.37943,0.36848,,0.37628,0.34361
Diluted NI Availto Com Stockholders,1591952000.0,1546036000.0,1694296000.0,1578678000.0,1441655000.0
Net Income Common Stockholders,1591952000.0,1546036000.0,1694296000.0,1578678000.0,1441655000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,1591952000.0,1546036000.0,1694296000.0,1578678000.0,1441655000.0
Minority Interests,-100710000.0,-91144000.0,-74632000.0,-81840000.0,-70408000.0
Net Income Including Noncontrolling Interests,1692662000.0,1637180000.0,1768928000.0,1660518000.0,1512063000.0
Net Income Continuous Operations,1692662000.0,1637180000.0,1768928000.0,1660518000.0,1512063000.0
Tax Provision,336772000.0,346310000.0,429921000.0,416771000.0,444508000.0
Pretax Income,2029434000.0,1983490000.0,2198849000.0,2077289000.0,1956571000.0
Net Non Operating Interest Income Expense,7492000.0,-14236000.0,7641000.0,64448000.0,25281000.0
Total Other Finance Cost,,-24477000.0,-46579000.0,,
Interest Expense Non Operating,568612000.0,38713000.0,38938000.0,473796000.0,499655000.0
Interest Income Non Operating,576104000.0,21415000.0,0.0,538244000.0,524936000.0
Operating Income,2024948000.0,1906964000.0,2083812000.0,2012675000.0,1932563000.0
Operating Expense,1410633000.0,1409056000.0,1534415000.0,1386044000.0,1193632000.0
Other Operating Expenses,263834000.0,85075000.0,286484000.0,274318000.0,215507000.0
Selling General And Administration,1197460000.0,1191608000.0,1260382000.0,1125569000.0,1008058000.0
Selling And Marketing Expense,821902000.0,829815000.0,868795000.0,774971000.0,705161000.0
General And Administrative Expense,375558000.0,361793000.0,391587000.0,350598000.0,302897000.0
Gross Profit,3435581000.0,3316020000.0,3618227000.0,3398719000.0,3126195000.0
Cost Of Revenue,6771646000.0,6762551000.0,7204049000.0,6458216000.0,6148231000.0
Total Revenue,10207227000.0,10078571000.0,10822276000.0,9856935000.0,9274426000.0
Operating Revenue,10207227000.0,10078571000.0,10822276000.0,9856935000.0,9274426000.0
